n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
500,pevmean_ga,-1,0.4758983656734581,100,2235.717038262904,0,Nesøy,0,744452614,body_mass,300,26553,51.60907579027116
1000,pevmean_ga,-1,0.33135131277654484,100,2235.717038262904,0,Nesøy,0,744452614,body_mass,300,26555,61.26870525861159
1500,pevmean_ga,-1,0.2596309901803496,100,2235.717038262904,0,Nesøy,0,744452614,body_mass,300,26671,71.00605568382889
2000,pevmean_ga,-1,0.22044326016838414,100,2235.717038262904,0,Nesøy,0,744452614,body_mass,300,26530,81.30427992669865
2500,pevmean_ga,-1,0.1935056644239644,100,2235.717038262904,0,Nesøy,0,744452614,body_mass,300,26558,89.96224804408848
3000,pevmean_ga,-1,0.17630317987713442,100,2235.717038262904,0,Nesøy,0,744452614,body_mass,300,26633,100.33228741120547
3500,pevmean_ga,-1,0.1597925630168417,100,2235.717038262904,0,Nesøy,0,744452614,body_mass,300,26588,110.88604526221752
4000,pevmean_ga,-1,0.1479247319511022,100,2235.717038262904,0,Nesøy,0,744452614,body_mass,300,26586,120.01481413282454
4500,pevmean_ga,-1,0.1382430574459804,100,2235.717038262904,0,Nesøy,0,744452614,body_mass,300,26634,125.73403437528759
500,pevmean_ga,-1,0.4712546315371255,100,2235.717038262904,0,Nesøy,1,154263954,body_mass,300,26418,51.2056704768911
1000,pevmean_ga,-1,0.32503159053487873,100,2235.717038262904,0,Nesøy,1,154263954,body_mass,300,26522,61.05635965894908
1500,pevmean_ga,-1,0.258045446509952,100,2235.717038262904,0,Nesøy,1,154263954,body_mass,300,26601,70.97687416896224
2000,pevmean_ga,-1,0.21819990270836076,100,2235.717038262904,0,Nesøy,1,154263954,body_mass,300,26562,81.3651791382581
2500,pevmean_ga,-1,0.19136497801498442,100,2235.717038262904,0,Nesøy,1,154263954,body_mass,300,26594,90.65277024684474
3000,pevmean_ga,-1,0.17252282757764248,100,2235.717038262904,0,Nesøy,1,154263954,body_mass,300,26581,100.48618586314842
3500,pevmean_ga,-1,0.15794233260848628,100,2235.717038262904,0,Nesøy,1,154263954,body_mass,300,26533,111.1633823220618
4000,pevmean_ga,-1,0.14766652119965762,100,2235.717038262904,0,Nesøy,1,154263954,body_mass,300,26666,120.66576471505687
4500,pevmean_ga,-1,0.13804777708780577,100,2235.717038262904,0,Nesøy,1,154263954,body_mass,300,26503,127.22478455817327
500,pevmean_ga,-1,0.48151195171026473,100,2235.717038262904,0,Nesøy,2,1378078444,body_mass,300,26593,51.12841663090512
1000,pevmean_ga,-1,0.3216060469274773,100,2235.717038262904,0,Nesøy,2,1378078444,body_mass,300,26584,61.275723319966346
