trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,n_components,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19505,8L19505,3,Selvær,1122,0.0038641367414841425,1.0962305435486768
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19506,8L19506,3,Selvær,2283,0.0006742417742743255,1.0262076493857517
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19540,8L19540,3,Selvær,225,0.009737206527686155,1.2378882896071652
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19549,8L19549,8,Lovund,2946,-0.0013614658829978594,0.9838772979203416
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19556,8L19556,8,Lovund,1089,0.003943834640501889,1.0980398960803908
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19559,8L19559,8,Lovund,2307,0.000603488944507972,1.0247063149557267
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19568,8L19568,3,Selvær,386,0.007663857796795563,1.1859022072933587
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19569,8L19569,3,Selvær,1432,0.0029295253203451815,1.0752335810670357
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19578,8L19578,8,Lovund,1991,0.0014511024256028588,1.042837563989785
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19595,8L19595,3,Selvær,2278,0.0006805490331382665,1.0263415925349686
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19596,8L19596,2,Træna,2759,-0.0007155277041876083,0.9971162563073236
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19610,8L19610,9,Sleneset,1715,0.0021967259838949612,1.0590522001078082
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19624,8L19624,9,Sleneset,2914,-0.001232588821337922,0.9865046123175721
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19633,8L19633,2,Træna,3352,-0.003181079009346707,0.947520489519915
body_mass,0,Nesøy,0,2076391374,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,8L19656,8L19656,3,Selvær,293,0.00871059174806123,1.2118686994682655
