n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
500,pevmean_ga,-1,0.5966564226772645,100,502.6502333305817,0,Nesøy,0,744452614,thr_tarsus,300,26560,51.251844787970185
1000,pevmean_ga,-1,0.38841691833204267,100,502.6502333305817,0,Nesøy,0,744452614,thr_tarsus,300,26515,60.579278107732534
1500,pevmean_ga,-1,0.3003183475891626,100,502.6502333305817,0,Nesøy,0,744452614,thr_tarsus,300,26668,70.40805092826486
2000,pevmean_ga,-1,0.2504903090493733,100,502.6502333305817,0,Nesøy,0,744452614,thr_tarsus,300,26632,81.09825785132125
2500,pevmean_ga,-1,0.2177925488425602,100,502.6502333305817,0,Nesøy,0,744452614,thr_tarsus,300,26584,89.4597167656757
3000,pevmean_ga,-1,0.19440537157264137,100,502.6502333305817,0,Nesøy,0,744452614,thr_tarsus,300,26674,100.45431205583736
3500,pevmean_ga,-1,0.1775167146223042,100,502.6502333305817,0,Nesøy,0,744452614,thr_tarsus,300,26619,110.49116847291589
4000,pevmean_ga,-1,0.16451387486167499,100,502.6502333305817,0,Nesøy,0,744452614,thr_tarsus,300,26615,120.05689161969349
4500,pevmean_ga,-1,0.15400763318349592,100,502.6502333305817,0,Nesøy,0,744452614,thr_tarsus,300,26644,114.56412346335128
500,pevmean_ga,-1,0.5875448920927004,100,502.6502333305817,0,Nesøy,1,154263954,thr_tarsus,300,26333,50.819303426891565
1000,pevmean_ga,-1,0.38133005809822523,100,502.6502333305817,0,Nesøy,1,154263954,thr_tarsus,300,26644,60.970462824217975
1500,pevmean_ga,-1,0.3000966013138234,100,502.6502333305817,0,Nesøy,1,154263954,thr_tarsus,300,26577,70.78109839791432
2000,pevmean_ga,-1,0.24887507550343205,100,502.6502333305817,0,Nesøy,1,154263954,thr_tarsus,300,26500,80.94258580636233
2500,pevmean_ga,-1,0.21854306790990796,100,502.6502333305817,0,Nesøy,1,154263954,thr_tarsus,300,26579,89.89800598891452
3000,pevmean_ga,-1,0.19617733508591131,100,502.6502333305817,0,Nesøy,1,154263954,thr_tarsus,300,26531,100.54134570294991
3500,pevmean_ga,-1,0.17740480335765435,100,502.6502333305817,0,Nesøy,1,154263954,thr_tarsus,300,26599,110.85202719504014
4000,pevmean_ga,-1,0.16510372396385975,100,502.6502333305817,0,Nesøy,1,154263954,thr_tarsus,300,26405,119.82872517593205
4500,pevmean_ga,-1,0.15395533406153858,100,502.6502333305817,0,Nesøy,1,154263954,thr_tarsus,300,26583,111.23635998088866
500,pevmean_ga,-1,0.5868518268552679,100,502.6502333305817,0,Nesøy,2,1378078444,thr_tarsus,300,26568,51.018879659008235
1000,pevmean_ga,-1,0.3881509520239954,100,502.6502333305817,0,Nesøy,2,1378078444,thr_tarsus,300,26551,61.12554450985044
